DISTRICT,ORGCODE,First Language Not English,,English Language Learner,,Students With Disabilities,,High Needs,,Economically Disadvantaged,
Saugus,02620000,413,16,151,5.8,442,16.9,"1,150",43.8,740,28.6
Savoy,02630000,0,0,0,0,10,16.7,35,58.3,30,50
Scituate,02640000,56,1.9,17,0.6,401,13.3,652,21.6,319,10.7
Seekonk,02650000,121,6,61,3,335,16.4,601,29.5,282,14.1
Seven Hills Charter Public (District),04860000,309,46.3,195,29.2,102,15.3,521,78.1,414,62.1
Sharon,02660000,902,25.5,148,4.2,482,13.5,845,23.6,280,7.9
Shawsheen Valley Regional Vocational Technical,08710000,14,1.1,0,0,330,24.9,473,35.7,201,15.2
Sherborn,02690000,23,5.5,5,1.2,62,14.6,83,19.6,23,5.5
Shrewsbury,02710000,"2,006",32.3,223,3.6,839,13.4,"1,643",26.2,633,10.2
Shutesbury,02720000,0,0,0,0,22,17.9,51,41.5,37,30.3
Silver Hill Horace Mann Charter (District),04770000,58,10.4,42,7.5,93,16.6,235,42,164,29.3
Silver Lake,07600000,8,0.4,3,0.2,276,14.9,512,27.7,316,17.1
Sizer School: A North Central Charter Essential (District),04740000,5,1.4,4,1.1,90,25.1,174,48.5,121,33.7
Somerset,02730000,44,2.5,19,1.1,325,17.9,663,36.6,421,23.5
Somerset Berkley Regional School District,07630000,15,1.5,1,0.1,138,13.4,241,23.5,134,13.4
Somerville,02740000,"2,364",48.6,989,20.3,"1,059",21.4,"2,994",60.6,"2,095",43
South Hadley,02780000,121,6.4,80,4.2,301,15.8,727,38.1,495,26.2
South Middlesex Regional Vocational Technical,08290000,168,23,67,9.2,321,43.9,511,69.9,296,40.5
South Shore Charter Public (District),04880000,298,32.1,128,13.8,155,16.7,408,44,170,18.3
South Shore Regional Vocational Technical,08730000,5,0.8,0,0,208,32,324,49.8,171,26.3
Southampton,02750000,15,2.9,11,2.1,102,19.8,149,29,68,13.3
Southborough,02760000,134,10.2,69,5.2,214,16.1,338,25.4,70,5.3
Southbridge,02770000,696,34.7,477,23.8,432,21.2,"1,623",79.7,"1,421",70.9
Southeastern Regional Vocational Technical,08720000,357,25,15,1.1,261,18.3,751,52.6,547,38.3
Southern Berkshire,07650000,26,3.8,14,2.1,93,13.6,281,41.2,225,33
Southern Worcester County Regional Vocational Technical,08760000,6,0.5,0,0,156,13.9,392,34.9,290,25.8
Southwick-Tolland-Granville Regional School District,07660000,50,3.3,38,2.5,286,18.7,533,34.9,333,21.9
Spencer-E Brookfield,07670000,32,2.3,26,1.9,317,22.7,669,47.8,471,34.5
Springfield,02810000,"7,010",27.4,"4,007",15.6,"5,664",21.9,"21,367",82.7,"19,739",77.1
Springfield Preparatory Charter School (District),35100000,70,32.6,54,25.1,26,12.1,173,80.5,154,71.6
Stoneham,02840000,289,12.3,83,3.5,448,18.8,814,34.2,407,17.4
Stoughton,02850000,551,15.3,243,6.8,536,14.7,"1,567",43,"1,037",28.9
Sturbridge,02870000,7,0.8,3,0.3,108,12,222,24.6,145,16.1
Sturgis Charter Public (District),04890000,26,3.2,2,0.2,97,11.9,204,25,120,14.7
Sudbury,02880000,109,4,40,1.5,461,16.9,608,22.3,150,5.6
Sunderland,02890000,31,13,19,8,40,16.8,111,46.6,73,30.7
Sutton,02900000,26,1.8,14,1,252,17.6,363,25.3,140,9.9
Swampscott,02910000,219,9.9,87,3.9,367,16.4,676,30.2,324,14.7
Swansea,02920000,30,1.4,8,0.4,255,12.2,597,28.6,413,19.9
Tantasqua,07700000,16,0.9,4,0.2,220,12.2,502,27.9,349,19.5
Taunton,02930000,834,10.3,349,4.3,"1,546",18.9,"4,456",54.4,"3,616",44.7
TEC Connections Academy Commonwealth Virtual School District,39020000,64,4.2,3,0.2,295,19.2,793,51.6,633,41.2
Tewksbury,02950000,118,3.4,65,1.9,597,16.9,"1,035",29.2,524,15.1
Tisbury,02960000,103,33.7,82,26.8,41,13.4,153,50,90,29.4
Topsfield,02980000,6,0.9,2,0.3,104,16.3,123,19.3,27,4.3
Tri-County Regional Vocational Technical,08780000,5,0.5,4,0.4,304,30.8,434,44,205,20.8
Triton,07730000,82,3.2,27,1.1,412,15.9,833,32.1,529,20.6
Truro,03000000,0,0,0,0,22,20.8,50,47.2,34,33
Tyngsborough,03010000,72,4.5,33,2,268,16.4,443,27.1,210,13
UP Academy Charter School of Boston (District),04800000,271,54,127,25.3,108,21.5,407,81.1,345,68.7
UP Academy Charter School of Dorchester (District),35050000,193,26.1,191,25.8,145,19.6,589,79.7,493,66.7
Up-Island Regional,07740000,24,5.9,19,4.7,99,24.4,172,42.5,82,20.3
Upper Cape Cod Regional Vocational Technical,08790000,0,0,0,0,127,17.8,284,39.7,188,26.3
Uxbridge,03040000,55,3.1,32,1.8,253,14.2,555,31.1,357,20.2
Veritas Preparatory Charter School (District),04980000,77,23.9,38,11.8,59,18.3,247,76.7,231,71.7
Wachusett,07750000,189,2.6,108,1.5,"1,036",14.4,"1,718",23.8,732,10.2
Wakefield,03050000,147,4.2,62,1.8,579,16.3,949,26.8,449,12.8
Wales,03060000,0,0,0,0,23,14.3,63,39.1,48,29.8
Walpole,03070000,349,9.2,103,2.7,561,14.5,929,24.1,413,10.9
Waltham,03080000,"2,592",46.3,"1,243",22.2,902,15.9,"2,968",52.3,"1,931",34.5
Ware,03090000,24,2,10,0.8,243,19.9,691,56.5,613,50.5
Wareham,03100000,48,2.1,26,1.1,618,26.2,"1,456",61.7,"1,198",51.8
Watertown,03140000,882,33.8,339,13,548,20.6,"1,191",44.8,624,23.9
Wayland,03150000,251,9.3,87,3.2,527,19.2,698,25.5,143,5.3
Webster,03160000,204,11,156,8.4,441,23.2,"1,179",62,985,53.1
Wellesley,03170000,330,6.6,113,2.3,809,16,"1,141",22.5,289,5.8
Wellfleet,03180000,3,2.7,2,1.8,25,22.3,47,42,35,31.3
West Boylston,03220000,43,4.7,31,3.4,157,17.1,301,32.8,177,19.5
West Bridgewater,03230000,20,1.5,16,1.2,140,10.6,328,24.9,207,15.9
West Springfield,03320000,"1,258",30.6,435,10.6,776,18.6,"2,373",57,"1,916",46.6
Westborough,03210000,"1,007",25.6,374,9.5,593,15,"1,218",30.8,343,8.7
Westfield,03250000,503,9.2,296,5.4,"1,068",19.3,"2,700",48.8,"2,047",37.4
Westford,03260000,668,13.2,82,1.6,718,14,"1,032",20.1,279,5.5
Westhampton,03270000,1,0.8,1,0.8,28,22.8,41,33.3,17,13.9
Weston,03300000,203,9.7,56,2.7,344,16.2,502,23.6,98,4.7
Westport,03310000,35,2.4,14,1,268,18.6,534,37.1,354,24.8
Westwood,03350000,149,4.8,30,1,523,16.7,663,21.1,160,5.1
Weymouth,03360000,647,10.7,217,3.6,"1,122",18.4,"2,535",41.5,"1,695",28.1
Whately,03370000,6,4.3,5,3.6,18,12.9,41,29.3,26,18.6
Whitman-Hanson,07800000,58,1.5,30,0.8,587,14.9,"1,199",30.3,777,19.9
Whittier Regional Vocational Technical,08850000,60,4.8,12,1,295,23.5,594,47.4,373,29.7
Williamsburg,03400000,6,3.7,5,3.1,30,18.4,61,37.4,34,20.9
Williamstown,03410000,3,0.7,3,0.7,58,12.7,128,27.9,91,19.9
Wilmington,03420000,78,2.3,28,0.8,660,19.4,917,27,333,10
Winchendon,03430000,40,3.1,12,0.9,245,18.8,671,51.6,547,42.5
Winchester,03440000,729,15.6,165,3.5,798,16.9,"1,160",24.6,239,5.1
Winthrop,03460000,433,21.4,160,7.9,332,16.3,882,43.3,559,27.6
Woburn,03470000,828,18,341,7.4,731,15.7,"1,920",41.2,"1,216",26.4
Worcester,03480000,"14,010",55.4,"8,717",34.4,"4,856",18.8,"19,977",77.5,"15,052",59.5
Worthington,03490000,0,0,0,0,15,24.2,33,53.2,25,40.3
Wrentham,03500000,24,2.3,16,1.5,160,15.2,258,24.5,113,10.8
State Totals,00000000,"199,679",20.9,"97,334",10.2,"171,061",17.7,"449,584",46.6,"305,203",32
